u,rho,P,T,h,gamma,mu,k
143691.275167785,424,50759144.2166087,292.935715616953,263406.237942806,3.0757941802602,3.51601620070324e-05,0.058292175949651
143691.275167785,429.5,52282972.1837008,294.049351167552,265421.128913305,3.1088417441812,3.56884835038735e-05,0.0591348214108321
143691.275167785,435,53849977.4547979,295.157869912153,267484.32678801,3.14187497792281,3.62263489268318e-05,0.0599917905481914
143691.275167785,440.5,55461326.5122008,296.261082359537,269596.670201158,3.17487981672943,3.67738503433901e-05,0.0608636032839888
143691.275167785,446,57118206.6407521,297.358792842238,271759.003061848,3.20784264221225,3.73310805359117e-05,0.0617507931383749
143691.275167785,451.5,58821826.0973801,298.450799649571,273972.174608273,3.24075029095451,3.78981344734149e-05,0.0626539055872209
143691.275167785,457,60573414.2778712,299.536895144557,276237.039451967,3.27359004879636,3.84751108409755e-05,0.0635734963434385
143691.275167785,462.5,62374221.8716904,300.61686586606,278554.457593062,3.30634963256875,3.90621136105861e-05,0.0645101295756089
143691.275167785,468,64225520.9957068,301.690492618325,280925.294389381,3.33901716178276,3.96592536374406e-05,0.0654643760779438
143691.275167785,473.5,66128605.2983439,302.757550550854,283350.420465238,3.3715811233072,4.02666502660375e-05,0.0664368114056808
143691.275167785,479,68084790.0268838,303.817809232094,285830.711549589,3.40403033234493,4.08844329311854e-05,0.0674280139899471
143691.275167785,484.5,70095412.052316,304.871032720652,288367.048237581,3.43635389303199,4.15127427399218e-05,0.0684385632459351
143691.275167785,490,72161829.8480991,305.916979637829,290960.31567411,3.46854116174355,4.21517340214918e-05,0.069469037687906
143691.275167785,495.5,74285423.4213199,306.955403245069,293611.403162376,3.50058171573013,4.28015758338383e-05,0.0705200130640942
143691.275167785,501,76467594.1968346,307.986051529537,296321.203704381,3.53246532907871,4.34624534165051e-05,0.071592060524028
143691.275167785,506.5,78709764.8568935,309.008667300502,299090.613483468,3.56418195726122,4.41345695813909e-05,0.0726857448301257
143691.275167785,512,81013379.140349,310.022988298587,301920.531301279,3.59572173076884,4.48181460344052e-05,0.0738016226246795
143691.275167785,517.5,83379901.6067305,311.028747319209,304811.857982723,3.62707495760218,4.55134246227002e-05,0.0749402407625206
143691.275167785,523,85810817.3711827,312.0256723509,307765.495762781,3.65823213375519,4.62206685037725e-05,0.0761021347187776
143691.275167785,528.5,88307631.8165041,313.013486728511,310782.347668266,3.68918396033885,4.69401632343004e-05,0.0772878270802119
143691.275167785,534,90871870.2883091,313.991909300761,313863.316906192,3.71992136566667,4.76722177780763e-05,0.0784978261276526
143691.275167785,539.5,93505077.7787599,314.960654611142,317009.30626836,3.75043553047514,4.84171654337862e-05,0.0797326245160707
143691.275167785,545,96208818.6034611,315.919433090847,320221.217559457,3.78071791446882,4.91753646846534e-05,0.0809926980578402
143691.275167785,550.5,98984676.0750766,316.867951262184,323499.951053483,3.81076028253664,4.99471999730846e-05,0.0822785046137424
143691.275167785,556,101834252.176155,317.805911950868,326846.404981014,3.84055472924829,5.07330824044176e-05,0.083590483095287
143691.275167785,561.5,104759167.232601,318.733014505552,330261.475047752,3.87009370056678,5.15334503846683e-05,0.0849290525809634
143691.275167785,567,107761059.588308,319.648955023079,333746.053983143,3.89937001206574,5.23487701977954e-05,0.0862946115480923
143691.275167785,572.5,110841585.280722,320.553426578086,337301.031116645,3.9283768632815,5.31795365284611e-05,0.0876875372210462
143691.275167785,578,114002417.716571,321.446119455722,340927.291978461,3.95710784813189,5.40262729365522e-05,0.0891081850357289
143691.275167785,583.5,117245247.34664,322.326721386505,344625.717921238,3.98555696157763,5.48895322898642e-05,0.090556888219381
143691.275167785,589,120571781.338368,323.194917782472,348397.185759241,4.01371860287793,5.57698971613428e-05,0.0920339574839896
143691.275167785,594.5,123983743.245029,324.050391973982,352242.567421829,4.04158757589888,5.66679801971369e-05,0.0935396808308444
143691.275167785,600,127482872.670432,324.892825446662,356162.729618506,4.06915908697847,5.75844244614754e-05,0.0950743234631028
