T_K,P_Pa,boiling_T_K
320,2275269.90674544,466.822195218508
320,2344217.47967712,468.368104925496
320,2413165.0526088,469.914014632484
320,2482112.62554048,471.362188818838
320,2551060.19847216,472.804606662597
320,2620007.77140384,474.247024506356
320,2688955.34433552,475.643659069053
320,2757902.9172672,476.990291352875
320,2826850.49019888,478.336923636697
320,2895798.06313056,479.683555920519
320,2964745.63606224,480.959011564768
320,3033693.20899392,482.212603799889
320,3102640.7819256,483.466196035011
320,3171588.35485728,484.719788270132
320,3240535.92778896,485.907388606593
320,3309483.50072064,487.075991537638
320,3378431.07365232,488.244594468683
320,3447378.646584,489.413197399729
