T_K,P_Pa,k_W_m_K
302,1861584.46915536,0.134927764200387
302,1930532.04208704,0.134955094914375
302,1999479.61501872,0.134982425628362
302,2068427.1879504,0.13500975634235
302,2137374.76088208,0.135037087056337
302,2206322.33381376,0.135064417770325
302,2275269.90674544,0.135091748484312
302,2344217.47967712,0.1351190791983
302,2413165.0526088,0.135146409912288
302,2482112.62554048,0.135173740626275
302,2551060.19847216,0.135201071340263
302,2620007.77140384,0.13522840205425
302,2688955.34433552,0.135255732768238
302,2757902.9172672,0.135283063482225
302,2826850.49019888,0.135310394196213
302,2895798.06313056,0.1353377249102
302,2964745.63606224,0.135365055624188
302,3033693.20899392,0.135392386338175
302,3102640.7819256,0.135419717052163
302,3171588.35485728,0.13544704776615
302,3240535.92778896,0.135474378480138
302,3309483.50072064,0.135501709194125
302,3378431.07365232,0.135529039908113
302,3447378.646584,0.1355563706221
304,1723689.323292,0.134471186352022
304,1792636.89622368,0.134498435621581
304,1861584.46915536,0.134525684891141
304,1930532.04208704,0.1345529341607
304,1999479.61501872,0.13458018343026
304,2068427.1879504,0.134607432699819
304,2137374.76088208,0.134634681969378
304,2206322.33381376,0.134661931238938
304,2275269.90674544,0.134689180508497
304,2344217.47967712,0.134716429778056
304,2413165.0526088,0.134743679047616
304,2482112.62554048,0.134770928317175
304,2551060.19847216,0.134798177586734
304,2620007.77140384,0.134825426856294
304,2688955.34433552,0.134852676125853
304,2757902.9172672,0.134879925395412
304,2826850.49019888,0.134907174664972
304,2895798.06313056,0.134934423934531
304,2964745.63606224,0.13496167320409
304,3033693.20899392,0.13498892247365
304,3102640.7819256,0.135016171743209
304,3171588.35485728,0.135043421012768
304,3240535.92778896,0.135070670282328
304,3309483.50072064,0.135097919551887
304,3378431.07365232,0.135125168821446
304,3447378.646584,0.135152418091006
306,1723689.323292,0.134069269931632
306,1792636.89622368,0.134096437756763
306,1861584.46915536,0.134123605581894
306,1930532.04208704,0.134150773407025
306,1999479.61501872,0.134177941232157
